   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max 	min	std    	avg   	max	min	std    
0  	500   	4.404  	26  	1  	3.62337	12.584	49 	3  	10.5875
1  	379   	8.336  	30  	1  	4.2978 	15.258	42 	3  	11.3786
2  	351   	11.408 	30  	1  	4.87499	21.048	47 	3  	11.7975
3  	361   	14.11  	42  	1  	6.4812 	22.35 	53 	3  	11.215 
4  	347   	16.378 	43  	1  	7.96763	23.528	48 	3  	10.8409
5  	365   	18.964 	43  	1  	10.1046	22.606	48 	3  	9.70787
6  	350   	22.912 	43  	1  	11.4443	19.864	47 	7  	8.29467
7  	366   	24.692 	44  	1  	12.986 	22.196	49 	5  	10.2973
8  	363   	28.922 	55  	1  	14.0614	29.878	61 	7  	11.2616
9  	360   	31.434 	55  	1  	15.4366	36.52 	56 	9  	8.14233
10 	342   	34.126 	55  	1  	15.7945	39.234	72 	13 	7.51979
11 	373   	34.956 	59  	1  	16.9233	40.904	72 	15 	7.53252
12 	380   	37.23  	59  	1  	18.6198	41.798	76 	15 	7.16807
13 	374   	38.286 	59  	1  	19.3308	41.938	80 	20 	7.43816
14 	379   	38.818 	59  	1  	19.3964	42.292	65 	18 	6.56649
15 	340   	42.626 	64  	1  	18.9472	43.384	75 	17 	6.30782
16 	348   	42.138 	68  	1  	18.7897	43.766	75 	20 	7.55905
17 	369   	43.512 	81  	1  	19.2627	44.718	87 	20 	7.35571
18 	360   	45.62  	86  	1  	19.7248	45.214	87 	19 	8.03867
19 	366   	46.866 	96  	1  	21.2871	45.856	87 	17 	8.54981
20 	381   	47.93  	105 	1  	24.3938	45.054	84 	16 	8.91062
21 	389   	51.814 	120 	1  	28.4875	43.126	74 	7  	10.5013
22 	361   	58.094 	120 	1  	33.5693	39.638	79 	5  	11.7333
23 	351   	69.78  	120 	1  	36.2502	39.684	79 	7  	12.8161
24 	376   	76.268 	131 	1  	39.8343	40.852	81 	7  	14.7131
25 	338   	80.014 	131 	1  	42.5743	39.736	81 	5  	14.0477
26 	352   	85.412 	131 	1  	42.5793	40.214	79 	5  	13.4985
27 	366   	88.222 	131 	1  	43.0579	44.812	104	7  	16.4768
28 	357   	93.262 	131 	1  	42.4983	52.166	108	5  	20.4835
29 	362   	96.108 	131 	1  	42.6851	62.232	106	7  	21.7345
30 	345   	101.406	131 	1  	41.9812	61.562	116	7  	23.6992
31 	344   	99.328 	142 	1  	47.7592	45.152	108	5  	21.5971
32 	354   	96.39  	142 	1  	50.6592	36.028	102	5  	10.1469
33 	372   	95.306 	142 	1  	51.9979	36.196	87 	5  	10.337 
34 	363   	101.928	142 	1  	48.9461	38.514	97 	7  	11.0588
35 	379   	99.472 	142 	1  	52.2525	43.44 	97 	5  	14.9663
36 	357   	111.504	142 	1  	48.1499	52.576	97 	7  	16.1492
37 	371   	119.922	2175	1  	102.852	59.488	108	11 	14.7829
38 	356   	127.414	2175	2  	136.757	62.202	116	24 	13.7245
39 	338   	123.806	2175	1  	101.975	62.568	116	24 	13.7165
40 	359   	135.984	2255	1  	189.813	62.966	116	20 	14.2456
41 	353   	141.35 	2175	2  	211.982	64.3  	118	24 	13.9665
42 	357   	186.098	2175	1  	346.273	64.46 	118	20 	15.0023
43 	369   	328.642	2427	2  	605.988	65.722	118	18 	14.957 
44 	369   	706.512	2518	1  	910.227	65.672	118	22 	12.3794
45 	351   	1167.95	2518	2  	1005.01	65.39 	101	30 	10.3862
46 	364   	1466.19	2518	1  	958.029	65.968	103	32 	9.5429 
47 	384   	1465.15	2518	1  	977.63 	66.588	99 	32 	9.90425
48 	381   	1385.4 	2682	1  	1006.23	66.08 	95 	30 	10.0233
49 	373   	1451.14	2595	2  	998.019	67.102	103	24 	9.81446
50 	383   	1367.23	2518	1  	1017.56	67.51 	97 	32 	10.5782
