   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max	min	std    	avg   	max	min	std    
0  	500   	4.352  	22 	1  	3.42755	12.44 	49 	3  	10.694 
1  	351   	7.784  	22 	1  	3.9458 	13.312	44 	3  	10.8244
2  	346   	10.462 	31 	1  	4.59963	16.54 	45 	3  	11.2971
3  	368   	12.638 	31 	1  	5.79301	18.792	48 	3  	10.4455
4  	344   	15.088 	41 	1  	6.25782	22.492	47 	3  	9.5805 
5  	375   	16.666 	45 	1  	7.39476	22.442	47 	3  	8.65948
6  	366   	17.794 	45 	1  	9.64985	21.058	47 	7  	8.53409
7  	362   	21.146 	45 	1  	11.6782	22.346	52 	7  	9.14037
8  	361   	24.596 	45 	1  	13.5007	26.568	52 	11 	9.68614
9  	364   	28.756 	45 	1  	14.5376	30.626	59 	7  	8.5985 
10 	356   	30.454 	45 	1  	15.4407	33.846	59 	12 	7.12168
11 	379   	31.956 	45 	1  	15.6534	33.914	61 	13 	7.15923
12 	350   	33.498 	45 	1  	16.4175	33.748	61 	13 	7.90901
13 	355   	34.182 	54 	1  	16.4475	33.544	60 	13 	8.55173
14 	360   	34.698 	54 	1  	15.995 	34.008	64 	11 	8.31336
15 	359   	35.066 	54 	1  	16.4003	34.652	55 	11 	8.16547
16 	359   	35.036 	54 	1  	17.0545	35.144	59 	11 	8.16941
17 	361   	37.338 	54 	1  	17.3165	35.642	61 	13 	7.05165
18 	360   	38.966 	54 	1  	18.902 	35.242	56 	13 	6.65789
19 	361   	40.368 	54 	1  	19.3982	34.942	50 	11 	6.08199
20 	356   	39.682 	54 	1  	20.3725	35.02 	59 	11 	5.86205
21 	343   	41.744 	54 	1  	19.12  	35.542	59 	13 	6.27186
22 	336   	41.178 	54 	1  	19.8245	35.858	59 	13 	6.13203
23 	345   	41.06  	54 	1  	19.3203	36.636	59 	13 	6.50688
24 	365   	40.456 	55 	1  	20.0335	36.256	54 	11 	6.90032
25 	352   	42.052 	55 	1  	19.6071	37.332	58 	13 	6.61103
26 	367   	40.272 	55 	1  	19.8601	38.374	61 	13 	6.84968
27 	377   	38.634 	55 	1  	21.0647	39.88 	61 	11 	7.12809
28 	376   	40.088 	55 	1  	20.2322	41.48 	60 	11 	7.34286
29 	352   	42.488 	55 	1  	19.653 	43.026	73 	13 	7.07738
30 	389   	39.608 	55 	1  	20.9704	43.266	65 	11 	7.48166
31 	364   	40.574 	55 	1  	20.3235	43.11 	64 	11 	7.6685 
32 	326   	42.75  	106	1  	19.9651	43.79 	64 	11 	7.51145
33 	342   	42.936 	106	1  	20.6866	44.576	95 	13 	8.04762
34 	352   	47.744 	106	1  	22.1984	45.334	68 	13 	6.96695
35 	362   	51.164 	106	1  	31.3555	45.232	71 	11 	8.23566
36 	358   	69.862 	106	1  	38.6129	46.294	70 	12 	8.17237
37 	363   	91.674 	106	1  	33.6623	46.56 	66 	20 	8.71931
38 	357   	93.148 	106	1  	32.7392	45.6  	66 	17 	9.64282
39 	354   	88.512 	106	1  	37.3848	45.026	66 	9  	10.4179
40 	321   	92.604 	119	1  	33.6192	44.934	71 	10 	11.1047
41 	366   	91.124 	131	1  	35.1956	45.034	68 	12 	11.3586
42 	365   	88.988 	119	1  	37.2751	45.272	74 	10 	11.0847
43 	360   	88.86  	119	1  	38.1728	45.482	74 	7  	11.0514
44 	370   	90.194 	131	1  	39.8243	46.094	74 	10 	10.9038
45 	364   	95.194 	131	1  	41.6767	46.782	72 	11 	9.99252
46 	354   	101.326	131	1  	40.9803	46.724	73 	5  	9.58394
47 	357   	94.55  	131	1  	48.832 	46.72 	72 	18 	8.45326
48 	355   	96.61  	131	1  	51.52  	47.316	70 	11 	7.17747
49 	376   	92.252 	131	2  	55.8375	47.9  	68 	18 	6.88171
50 	370   	96.458 	131	1  	53.7797	48.124	71 	19 	6.90367
