   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max  	min	std    	avg   	max	min	std    
0  	500   	4.568  	27   	1  	3.81646	12.158	57 	3  	10.3108
1  	357   	8.132  	27   	1  	4.79235	11.28 	57 	3  	9.53801
2  	342   	11.612 	27   	1  	5.84238	13.208	45 	3  	8.44942
3  	363   	14.336 	28   	1  	7.41776	16.042	36 	3  	6.73619
4  	344   	16.874 	35   	1  	8.21913	18.42 	43 	3  	6.58541
5  	383   	18.124 	43   	1  	9.69188	20.582	47 	3  	6.67378
6  	356   	19.908 	43   	1  	10.4678	23.52 	49 	7  	6.89127
7  	374   	22.95  	47   	1  	10.9812	25.238	47 	7  	7.16724
8  	386   	26.314 	72   	1  	12.5299	25.268	54 	7  	7.26692
9  	355   	30.12  	72   	1  	13.8482	25.054	51 	8  	6.74382
10 	362   	32.744 	82   	1  	15.023 	25.118	61 	11 	6.32488
11 	372   	34.626 	102  	1  	17.4121	26.166	54 	8  	7.41151
12 	356   	38.154 	102  	1  	19.7681	28.014	56 	7  	7.5967 
13 	360   	44.022 	102  	1  	25.3531	30.338	54 	5  	7.43315
14 	356   	50.258 	116  	1  	31.1459	33.706	58 	5  	7.63777
15 	351   	60.35  	117  	1  	34.6422	36.832	65 	5  	8.00723
16 	357   	63.686 	116  	1  	37.8308	38.962	66 	10 	8.35443
17 	352   	67.592 	132  	1  	39.9522	39.35 	70 	14 	7.64693
18 	371   	69.578 	2071 	1  	100.179	38.712	70 	17 	7.57635
19 	347   	91.824 	2241 	1  	183.964	39.648	61 	16 	7.07673
20 	384   	131.248	2241 	1  	319.842	41.666	78 	18 	8.24733
21 	368   	215.022	2241 	1  	501.395	42.652	74 	20 	8.21772
22 	362   	385.028	2496 	1  	724.695	41.794	78 	20 	7.80254
23 	365   	1093.99	99999	1  	6339.88	40.244	78 	14 	7.13726
24 	368   	1327.53	99999	1  	6338.5 	39.662	73 	18 	6.52194
25 	347   	1966   	99999	1  	8867.93	39.798	62 	20 	6.21266
26 	362   	3903.44	99999	1  	16344.5	39.86 	74 	18 	6.59518
27 	356   	7016.08	99999	1  	23515.6	40.048	70 	16 	6.95627
28 	335   	17434.3	99999	1  	36849  	40.04 	71 	20 	6.75295
29 	385   	25876.9	99999	1  	43259.2	39.118	75 	16 	6.82115
30 	364   	35674.4	99999	1  	47621.6	39.086	70 	18 	6.39708
31 	362   	42315.8	99999	1  	49289.8	38.774	73 	20 	5.52657
32 	370   	45078.8	99999	1  	49678.4	39.074	62 	18 	6.34827
33 	356   	53676  	99999	1  	49788.6	39.776	62 	18 	6.34963
34 	353   	53466.9	99999	1  	49812.5	40.702	63 	18 	7.0991 
35 	389   	47839.7	99999	1  	49913.1	41.588	66 	18 	7.94319
36 	363   	53058.5	99999	1  	49847.6	42.472	73 	19 	8.88826
37 	365   	52255.9	99999	1  	49892.8	43.6  	88 	18 	9.1839 
38 	342   	59079.8	99999	1  	49089.3	44.828	88 	24 	9.44237
39 	372   	51467.9	99999	1  	49913.7	46.096	93 	18 	10.8719
40 	377   	57828.8	99999	1  	49353.2	47.234	105	18 	11.3775
41 	372   	58630.7	99999	1  	49217.5	48.764	109	18 	11.6775
42 	369   	58043.3	99999	1  	49304.4	51.386	94 	19 	11.5704
43 	364   	59843.6	99999	2  	48976.4	52.772	93 	16 	11.7569
44 	384   	62659.8	99999	1  	48310.6	53.912	89 	19 	11.2693
45 	359   	61851.7	99999	1  	48523.4	55.148	92 	19 	11.8143
46 	387   	62021.2	99999	1  	48510.4	55.562	99 	20 	12.207 
47 	365   	68630.4	99999	1  	46365.7	56.972	93 	20 	11.1948
48 	350   	68863  	99999	2  	46238.9	57.508	101	19 	11.9996
49 	379   	69426.6	99999	2  	46041.8	58.892	101	19 	12.5242
50 	357   	66034  	99999	1  	47322.7	59.44 	101	20 	13.2323
