   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg   	max	min	std    	avg   	max	min	std    
0  	500   	4.448 	20 	1  	3.37628	12.256	47 	3  	10.3988
1  	345   	8.058 	32 	1  	3.98229	12.482	47 	3  	10.5057
2  	360   	10.414	32 	1  	4.96856	17.164	43 	3  	11.8199
3  	369   	13.072	32 	1  	6.93648	20.928	52 	3  	11.9358
4  	352   	15.83 	35 	1  	8.18395	23.728	50 	3  	10.7103
5  	360   	17.172	35 	1  	10.2584	25.03 	51 	3  	10.069 
6  	364   	20.09 	40 	1  	11.8606	23.524	52 	7  	9.50039
7  	353   	23.184	40 	1  	12.5037	23.198	59 	9  	9.24245
8  	347   	24.944	88 	1  	13.049 	27.94 	81 	3  	11.182 
9  	380   	27.33 	88 	1  	13.2766	35.892	85 	8  	11.2726
10 	374   	27.786	88 	1  	14.5194	37.678	81 	13 	10.3838
11 	371   	30.92 	88 	1  	17.9645	36.372	82 	7  	10.7916
12 	367   	34.162	88 	1  	23.5114	32.9  	81 	6  	8.97274
13 	344   	41.738	88 	1  	31.6852	30.226	77 	8  	8.59389
14 	345   	52.464	88 	1  	37.4929	28.982	60 	8  	8.87433
15 	361   	59.256	88 	1  	38.6971	28.984	77 	8  	9.27986
16 	349   	63.308	88 	1  	37.4023	29.894	62 	6  	10.0542
17 	330   	67.838	88 	1  	34.9318	30.866	62 	6  	10.0254
18 	370   	64.478	88 	1  	36.6815	31.814	63 	6  	10.4711
19 	363   	63.538	88 	1  	37.2763	32.41 	70 	8  	11.0251
20 	366   	62.922	99 	1  	37.7049	33.022	65 	7  	10.7986
21 	350   	64.568	99 	1  	37.1141	34.118	71 	8  	10.9393
22 	377   	64.272	99 	1  	37.0757	34.53 	71 	6  	11.514 
23 	347   	65.076	99 	1  	36.7504	35.292	75 	6  	11.3578
24 	347   	66.628	99 	1  	36.3256	35.446	71 	8  	11.4549
25 	360   	66.882	99 	1  	37.2508	36.646	71 	6  	11.4422
26 	349   	66.288	99 	1  	39.7116	36.984	76 	6  	11.7618
27 	386   	69.344	99 	1  	41.343 	36.906	76 	8  	12.1252
28 	350   	68.676	99 	1  	42.5348	38.376	69 	12 	11.6344
29 	381   	68.858	99 	1  	43.0842	38.97 	74 	9  	12.6771
30 	369   	69.93 	99 	1  	42.4748	39.802	74 	7  	12.0722
31 	364   	68.986	99 	1  	42.8854	40.46 	79 	11 	12.2863
32 	361   	76.724	99 	1  	38.7705	42.472	77 	10 	12.2517
33 	348   	75.302	99 	1  	40.1991	43.606	77 	7  	12.7973
34 	359   	72.828	99 	1  	41.2664	44.228	83 	10 	13.7393
35 	370   	77.714	99 	1  	38.185 	45.3  	86 	11 	13.5105
36 	362   	76.152	99 	1  	39.366 	45.86 	89 	10 	13.6526
37 	385   	75.1  	99 	1  	40.1182	47.036	89 	11 	13.7391
38 	362   	71.156	99 	1  	41.9925	47.344	94 	10 	14.0193
39 	370   	74.69 	99 	1  	40.232 	48.466	94 	11 	13.8841
40 	369   	78.524	99 	1  	38.1257	49.608	90 	11 	13.7333
41 	363   	77.334	99 	1  	38.8657	49.364	102	11 	14.102 
42 	370   	75.128	99 	1  	40.3803	49.306	94 	11 	14.8697
43 	378   	77.298	99 	1  	38.9505	50.37 	94 	9  	14.9355
44 	371   	77.6  	99 	1  	38.4313	51.066	96 	9  	14.951 
45 	359   	80.688	99 	1  	36.3422	51.114	107	9  	14.2377
46 	393   	78.544	99 	1  	38.2546	51.794	107	9  	15.4019
47 	364   	80.332	99 	1  	36.603 	53.664	111	11 	14.6441
48 	348   	81.722	99 	1  	35.5132	53.36 	91 	11 	14.0803
49 	353   	83.05 	99 	1  	34.7913	52.66 	92 	7  	14.2921
50 	369   	77.93 	120	1  	38.4006	53.334	91 	11 	13.4409
